Date,Open,High,Low,Close,Adj Close,Volume
1996-10-24,2941.310059,2941.310059,2941.250000,2941.250000,2941.250000,0
1996-10-25,2926.600098,2939.189941,2925.080078,2939.189941,2939.189941,0
1996-10-28,2949.889893,2950.219971,2947.070068,2947.800049,2947.800049,0
1996-10-29,2924.080078,2924.080078,2917.669922,2919.919922,2919.919922,0
1996-10-30,2920.050049,2922.679932,2916.449951,2916.449951,2916.449951,0
1996-10-31,2910.800049,2911.250000,2901.879883,2902.729980,2902.729980,0
1996-11-01,2912.760010,2912.760010,2912.760010,2912.760010,2912.760010,0
1996-11-04,2902.919922,2902.919922,2902.919922,2902.919922,2902.919922,0
1996-11-05,2907.770020,2908.729980,2903.290039,2907.979980,2907.979980,0
1996-11-06,2916.610107,2922.399902,2915.610107,2920.370117,2920.370117,0
1996-11-07,2913.399902,2919.300049,2913.399902,2918.879883,2918.879883,0
1996-11-08,2921.159912,2923.189941,2911.649902,2920.159912,2920.159912,0
1996-11-11,2918.169922,2918.169922,2918.169922,2918.169922,2918.169922,0
1996-11-12,2924.159912,2924.159912,2924.159912,2924.159912,2924.159912,0
1996-11-13,2933.659912,2935.189941,2931.850098,2932.780029,2932.780029,0
1996-11-14,2921.729980,2922.219971,2920.370117,2921.979980,2921.979980,0
1996-11-15,2923.239990,2926.340088,2922.370117,2926.340088,2926.340088,0
1996-11-18,2916.159912,2922.840088,2915.330078,2916.929932,2916.929932,0
1996-11-19,2907.239990,2912.449951,2906.979980,2911.510010,2911.510010,0
1996-11-20,2909.139893,2910.129883,2904.199951,2910.040039,2910.040039,0
1996-11-21,2896.370117,2899.070068,2894.360107,2894.800049,2894.800049,0
1996-11-22,2897.340088,2907.459961,2897.250000,2907.149902,2907.149902,0
1996-11-25,2897.270020,2897.270020,2895.429932,2896.530029,2896.530029,0
1996-11-26,2891.560059,2891.989990,2875.030029,2875.629883,2875.629883,0
1996-11-27,2865.879883,2865.879883,2848.050049,2851.070068,2851.070068,0
1996-11-28,2864.479980,2865.689941,2862.620117,2865.260010,2865.260010,0
1996-11-29,2891.389893,2898.239990,2888.860107,2896.729980,2896.729980,0
1996-12-02,2911.590088,2915.830078,2911.590088,2915.830078,2915.830078,0
1996-12-03,2931.479980,2935.729980,2929.689941,2935.649902,2935.649902,0
1996-12-04,2918.270020,2929.219971,2917.979980,2929.219971,2929.219971,0
1996-12-05,2938.800049,2951.659912,2938.620117,2951.070068,2951.070068,0
1996-12-06,2925.639893,2925.639893,2904.840088,2911.070068,2911.070068,0
1996-12-09,2932.229980,2936.939941,2931.159912,2934.760010,2934.760010,0
1996-12-10,2953.979980,2962.459961,2953.879883,2957.639893,2957.639893,0
1996-12-11,2936.699951,2936.979980,2927.979980,2933.300049,2933.300049,0
1996-12-12,2934.649902,2934.870117,2926.840088,2927.300049,2927.300049,0
1996-12-13,2916.719971,2917.000000,2914.850098,2914.909912,2914.909912,0
1996-12-16,2923.100098,2931.989990,2923.100098,2926.590088,2926.590088,0
1996-12-17,2922.080078,2923.090088,2916.169922,2921.639893,2921.639893,0
1996-12-18,2941.120117,2947.679932,2940.729980,2944.479980,2944.479980,0
1996-12-19,2942.860107,2945.060059,2940.310059,2944.469971,2944.469971,0
1996-12-20,2963.040039,2968.330078,2959.020020,2960.020020,2960.020020,0
1996-12-23,2963.459961,2964.729980,2963.080078,2964.719971,2964.719971,0
1996-12-24,null,null,null,null,null,null
1996-12-25,null,null,null,null,null,null
1996-12-26,null,null,null,null,null,null
1996-12-27,2951.399902,2951.399902,2951.399902,2951.399902,2951.399902,0
1996-12-30,2961.659912,2961.659912,2961.659912,2961.659912,2961.659912,0
1996-12-31,null,null,null,null,null,null
1997-01-01,null,null,null,null,null,null
1997-01-02,2943.979980,2943.979980,2943.979980,2943.979980,2943.979980,0
1997-01-03,2968.000000,2968.000000,2968.000000,2968.000000,2968.000000,0
1997-01-06,null,null,null,null,null,null
1997-01-07,2993.760010,2995.510010,2987.330078,2988.060059,2988.060059,0
1997-01-08,3005.449951,3017.100098,3004.989990,3017.100098,3017.100098,0
1997-01-09,3022.120117,3031.300049,3019.149902,3031.250000,3031.250000,0
1997-01-10,3034.850098,3035.820068,3027.649902,3032.820068,3032.820068,0
1997-01-13,3075.389893,3076.610107,3073.600098,3074.889893,3074.889893,0
1997-01-14,3076.020020,3084.830078,3075.889893,3083.889893,3083.889893,0
1997-01-15,3099.520020,3102.719971,3093.010010,3094.169922,3094.169922,0
1997-01-16,3103.530029,3115.340088,3103.419922,3111.870117,3111.870117,0
1997-01-17,3131.850098,3133.739990,3127.909912,3132.139893,3132.139893,0
1997-01-20,3156.070068,3161.489990,3148.830078,3150.790039,3150.790039,0
1997-01-21,3149.330078,3149.360107,3132.260010,3138.000000,3138.000000,0
1997-01-22,3167.520020,3167.520020,3161.139893,3162.649902,3162.649902,0
1997-01-23,3166.620117,3171.040039,3159.820068,3171.040039,3171.040039,0
1997-01-24,3156.379883,3160.979980,3153.239990,3153.239990,3153.239990,0
1997-01-27,3153.639893,3157.689941,3150.620117,3151.320068,3151.320068,0
1997-01-28,3148.510010,3161.770020,3146.010010,3161.770020,3161.770020,0
1997-01-29,3146.820068,3153.699951,3145.620117,3153.699951,3153.699951,0
1997-01-30,3171.219971,3176.709961,3171.219971,3175.219971,3175.219971,0
1997-01-31,3182.719971,3184.649902,3178.540039,3181.669922,3181.669922,0
1997-02-03,3202.379883,3209.800049,3202.300049,3209.800049,3209.800049,0
1997-02-04,3222.649902,3223.969971,3216.629883,3217.489990,3217.489990,0
1997-02-05,3223.419922,3243.340088,3223.419922,3241.070068,3241.070068,0
1997-02-06,3237.459961,3246.000000,3231.770020,3245.290039,3245.290039,0
1997-02-07,3247.760010,3250.550049,3236.879883,3248.389893,3248.389893,0
1997-02-10,3259.610107,3262.989990,3257.820068,3259.409912,3259.409912,0
1997-02-11,3266.250000,3271.830078,3264.479980,3271.709961,3271.709961,0
1997-02-12,3284.449951,3305.699951,3284.080078,3305.699951,3305.699951,0
1997-02-13,3318.379883,3318.379883,3294.260010,3309.899902,3309.899902,0
1997-02-14,3313.850098,3314.479980,3297.520020,3298.729980,3298.729980,0
1997-02-17,3295.979980,3301.780029,3292.379883,3300.879883,3300.879883,0
1997-02-18,3311.129883,3315.709961,3304.139893,3304.729980,3304.729980,0
1997-02-19,3310.580078,3316.600098,3307.419922,3312.060059,3312.060059,0
1997-02-20,3305.639893,3307.389893,3301.979980,3304.590088,3304.590088,0
1997-02-21,3301.500000,3307.520020,3300.560059,3307.040039,3307.040039,0
1997-02-24,3308.979980,3309.760010,3298.389893,3302.729980,3302.729980,0
1997-02-25,3326.550049,3336.139893,3325.949951,3334.479980,3334.479980,0
1997-02-26,3339.429932,3341.560059,3326.560059,3328.760010,3328.760010,0
1997-02-27,3343.540039,3352.459961,3340.110107,3347.330078,3347.330078,0
1997-02-28,3354.050049,3366.770020,3353.419922,3366.219971,3366.219971,0
1997-03-03,3385.469971,3391.350098,3380.330078,3385.489990,3385.489990,0
1997-03-04,3417.229980,3435.129883,3416.979980,3433.939941,3433.939941,0
1997-03-05,3435.100098,3446.840088,3432.020020,3442.590088,3442.590088,0
1997-03-06,3467.409912,3470.790039,3452.580078,3454.370117,3454.370117,0
1997-03-07,3452.860107,3480.550049,3451.600098,3480.169922,3480.169922,0
1997-03-10,3492.070068,3515.350098,3489.570068,3515.350098,3515.350098,0
1997-03-11,3532.370117,3551.070068,3532.280029,3536.399902,3536.399902,0
1997-03-12,3545.010010,3545.830078,3532.709961,3533.899902,3533.899902,0
1997-03-13,3510.179932,3517.179932,3508.189941,3516.649902,3516.649902,0
1997-03-14,3513.560059,3547.860107,3511.620117,3546.830078,3546.830078,0
1997-03-17,3525.939941,3525.969971,3517.409912,3520.790039,3520.790039,0
1997-03-18,3504.179932,3506.070068,3483.800049,3483.800049,3483.800049,0
1997-03-19,3487.570068,3495.959961,3486.169922,3486.169922,3486.169922,0
1997-03-20,3498.290039,3501.389893,3483.250000,3485.760010,3485.760010,0
1997-03-21,3527.050049,3533.340088,3511.760010,3514.459961,3514.459961,0
1997-03-24,3524.169922,3525.459961,3516.179932,3516.179932,3516.179932,0
1997-03-25,3513.590088,3535.520020,3513.310059,3533.620117,3533.620117,0
1997-03-26,3544.350098,3550.020020,3534.870117,3541.050049,3541.050049,0
1997-03-27,3558.860107,3563.110107,3546.090088,3546.090088,3546.090088,0
1997-03-28,null,null,null,null,null,null
1997-03-31,null,null,null,null,null,null
1997-04-01,3494.020020,3511.699951,3494.020020,3504.120117,3504.120117,0
1997-04-02,3519.679932,3534.250000,3494.560059,3495.409912,3495.409912,0
1997-04-03,3479.489990,3487.709961,3476.300049,3483.989990,3483.989990,0
1997-04-04,3494.820068,3497.629883,3490.010010,3490.189941,3490.189941,0
1997-04-07,3529.489990,3532.850098,3499.669922,3513.659912,3513.659912,0
1997-04-08,3509.479980,3513.169922,3502.649902,3504.919922,3504.919922,0
1997-04-09,3530.370117,3543.449951,3527.830078,3537.739990,3537.739990,0
1997-04-10,3540.979980,3555.060059,3535.939941,3553.120117,3553.120117,0
1997-04-11,3572.110107,3572.379883,3550.199951,3550.199951,3550.199951,0
1997-04-14,3559.260010,3560.139893,3557.610107,3559.070068,3559.070068,0
1997-04-15,3575.500000,3586.679932,3573.260010,3586.679932,3586.679932,0
1997-04-16,3593.320068,3593.669922,3577.169922,3582.270020,3582.270020,0
1997-04-17,3580.939941,3585.419922,3575.830078,3576.590088,3576.590088,0
1997-04-18,3582.120117,3582.120117,3576.600098,3578.969971,3578.969971,0
1997-04-21,3568.209961,3571.120117,3562.610107,3565.399902,3565.399902,0
1997-04-22,3554.790039,3554.790039,3539.770020,3545.010010,3545.010010,0
1997-04-23,3552.260010,3552.260010,3540.030029,3542.629883,3542.629883,0
1997-04-24,3556.550049,3567.149902,3555.129883,3566.070068,3566.070068,0
